Rk,Player,Age,Team,Pos,G,GS,Cmp,Att,Cmp_Pct,Yds,TD,TD_Pct,Int,Int_Pct,1D,Succ_Pct,Lng,Yards_Per_Att,Adj_Yards_Per_Att,Yards_Per_Cmp,Yards_Per_Game,Passer_Rating,Total_QBR,Sk,Yds_Lost_Sk,Sk_Pct,Net_Yards_Per_Att,Adj_Net_Yards_Per_Att,Game_Tying_Drives,Game_Winning_Drives,Awards,Player_ID,Wins,Losses,Ties
45,Trevor Siemian,32,NYJ,QB,5,3,86,153,56.2,724,2,1.3,4,2.6,35,34.2,30.0,4.7,3.82,8.4,144.8,62.1,14.8,8,40,4.97,4.25,3.38,1,1,None,SiemTr00,2,1,0
46,Mason Rudolph,28,PIT,QB,4,3,55,74,74.3,719,3,4.1,0,0.0,26,47.5,86.0,9.7,10.53,13.1,179.8,118.0,71.3,6,43,7.5,8.45,9.2,0,1,None,RudoMa00,3,0,0
47,P.J. Walker,28,CLE,QB,6,2,54,111,48.6,674,1,0.9,5,4.5,27,32.8,58.0,6.1,4.23,12.5,112.3,52.2,19.1,11,90,9.02,4.79,3.11,2,2,None,WalkPh00,1,1,0
48,Mitchell Trubisky,29,PIT,QB,5,2,67,107,62.6,632,4,3.7,5,4.7,36,50.0,26.0,5.9,4.55,9.4,126.4,71.9,35.3,7,42,6.14,5.18,3.9,0,0,None,TrubMi00,0,2,0
49,Anthony Richardson,21,IND,QB,4,4,50,84,59.5,577,3,3.6,1,1.2,31,44.0,39.0,6.9,7.05,11.5,144.3,87.3,45.0,7,29,7.69,6.02,6.19,0,0,None,RichAn03,2,2,0
50,Drew Lock,27,SEA,QB,4,2,48,76,63.2,543,3,3.9,3,3.9,20,40.2,51.0,7.1,6.16,11.3,135.8,81.2,44.9,6,26,7.32,6.3,5.39,1,1,None,LockDr00,1,1,0
51,Jarrett Stidham,27,DEN,QB,3,2,40,66,60.6,496,2,3.0,1,1.5,19,45.2,54.0,7.5,7.44,12.4,165.3,87.7,31.8,7,46,9.59,6.16,6.1,0,0,None,StidJa00,1,1,0
52,Dorian Thompson-Robinson,24,CLE,QB,8,3,60,112,53.6,440,1,0.9,4,3.6,26,35.6,23.0,3.9,2.5,7.3,55.0,51.2,35.1,6,60,5.08,3.22,1.86,0,1,None,ThomDo02,1,2,0
53,Andy Dalton,36,CAR,QB,3,1,34,58,58.6,361,2,3.4,0,0.0,17,42.6,47.0,6.2,6.91,10.6,120.3,88.4,49.2,3,27,4.92,5.48,6.13,0,0,None,DaltAn00,0,1,0
54,Tim Boyle,29,NYJ,QB,3,2,48,77,62.3,360,1,1.3,4,5.2,16,29.1,36.0,4.7,2.6,7.5,120.0,56.2,11.2,9,64,10.47,3.44,1.58,0,0,None,BoylTi00,0,2,0
55,C.J. Beathard,30,JAX,QB,7,1,40,53,75.5,349,1,1.9,0,0.0,19,47.5,48.0,6.6,6.96,8.7,49.9,98.7,56.0,6,27,10.17,5.46,5.8,0,0,None,BeatC.00,1,0,0
56,Sam Darnold,26,SFO,QB,10,1,28,46,60.9,297,2,4.3,1,2.2,15,46.2,48.0,6.5,6.35,10.6,29.7,85.1,50.1,6,40,11.54,4.94,4.85,0,0,None,DarnSa00,0,1,0
57,Case Keenum,35,HOU,QB,2,2,34,53,64.2,291,1,1.9,3,5.7,14,40.7,41.0,5.5,3.32,8.6,145.5,61.1,21.7,6,60,10.17,3.92,1.97,1,1,None,KeenCa00,1,1,0
58,Jameis Winston,29,NOR,QB,7,0,25,47,53.2,264,2,4.3,3,6.4,10,32.7,30.0,5.6,3.6,10.6,37.7,57.4,36.4,2,13,4.08,5.12,3.18,0,0,None,WinsJa00,0,0,0
59,Brian Hoyer,38,LVR,QB,3,1,23,42,54.8,231,0,0.0,2,4.8,14,44.2,48.0,5.5,3.36,10.0,77.0,50.8,69.6,1,8,2.33,5.19,3.09,0,0,None,HoyeBr00,0,1,0
60,Jacoby Brissett,31,WAS,QB,3,0,18,23,78.3,224,3,13.0,0,0.0,10,56.5,48.0,9.7,12.35,12.4,74.7,146.8,95.7,0,0,0.0,9.74,12.35,0,0,None,BrisJa00,0,0,0
61,Tyler Huntley,25,BAL,QB,5,1,21,37,56.8,203,3,8.1,0,0.0,13,41.5,27.0,5.5,7.11,9.7,40.6,99.3,57.5,4,28,9.76,4.27,5.73,0,0,None,HuntTy01,0,1,0
62,Blaine Gabbert,34,KAN,QB,2,1,18,35,51.4,185,0,0.0,3,8.6,8,30.6,37.0,5.3,1.43,10.3,92.5,31.2,48.0,1,9,2.78,4.89,1.14,1,1,None,GabbBl00,1,0,0
63,Davis Mills,25,HOU,QB,6,0,18,39,46.2,173,2,5.1,0,0.0,12,36.6,19.0,4.4,5.46,9.6,28.8,76.1,49.5,2,13,4.88,3.9,4.88,0,0,None,MillDa02,0,0,0
64,Brett Rypien,27,LAR,QB,2,1,18,38,47.4,172,0,0.0,1,2.6,8,25.0,34.0,4.5,3.34,9.6,86.0,49.5,20.4,2,18,5.0,3.85,2.73,0,0,None,RypiBr00,0,1,0
65,Jaren Hall,25,MIN,QB,3,2,13,20,65.0,168,0,0.0,1,5.0,7,37.5,47.0,8.4,6.15,12.9,56.0,70.4,5.3,4,28,16.67,5.83,3.96,0,0,None,HallJa00,1,1,0
66,Jeff Driskel,30,CLE,QB,1,1,13,26,50.0,166,2,7.7,2,7.7,8,34.5,31.0,6.4,4.46,12.8,166.0,63.9,4.2,3,26,10.34,4.83,3.1,0,0,None,DrisJe00,0,1,0
67,Marcus Mariota,30,PHI,QB,3,0,15,23,65.2,164,1,4.3,1,4.3,10,53.8,22.0,7.1,6.04,10.9,54.7,82.5,60.7,3,11,11.54,5.88,4.92,0,0,None,MariMa01,0,0,0
68,Carson Wentz,31,LAR,QB,2,1,17,24,70.8,163,2,8.3,1,4.2,11,57.7,29.0,6.8,6.58,9.6,81.5,99.8,90.2,2,14,7.69,5.73,5.54,1,1,None,WentCa00,1,0,0
69,Cooper Rush,30,DAL,QB,7,0,18,24,75.0,144,0,0.0,1,4.2,7,52.0,29.0,6.0,4.13,8.0,20.6,72.2,52.9,1,8,4.0,5.44,3.64,0,0,None,RushCo00,0,0,0
70,Taysom Hill,33,NOR,TE/QB,16,7,6,11,54.5,83,1,9.1,0,0.0,4,46.2,44.0,7.5,9.36,13.8,5.2,109.3,50.8,2,4,15.38,6.08,7.62,0,1,None,HillTa00,0,0,0
71,Mike White,28,MIA,QB,6,0,5,6,83.3,74,1,16.7,1,16.7,1,16.7,68.0,12.3,8.17,14.8,12.3,118.1,0.1,0,0,0.0,12.33,8.17,0,0,None,WhitMi01,0,0,0
72,Malik Willis,24,TEN,QB,3,0,4,5,80.0,74,0,0.0,0,0.0,1,44.4,48.0,14.8,14.8,18.5,24.7,118.7,3.1,4,30,44.44,4.89,4.89,0,0,None,WillMa12,0,0,0
73,Clayton Tune,24,ARI,QB,7,1,12,21,57.1,62,0,0.0,2,9.5,3,17.9,14.0,3.0,-1.33,5.2,8.9,22.6,1.2,7,41,25.0,0.75,-2.46,0,0,None,TuneCl00,0,1,0
74,Keenan Allen,31,LAC,WR,13,13,1,2,50.0,49,1,50.0,0,0.0,1,50.0,49.0,24.5,34.5,49.0,3.8,135.4,98.9,0,0,0.0,24.5,34.5,0,0,PB,AlleKe00,0,0,0
75,Sean Clifford,25,GNB,QB,2,0,1,1,100.0,37,0,0.0,0,0.0,1,100.0,37.0,37.0,37.0,37.0,18.5,118.7,100.0,0,0,0.0,37.0,37.0,0,0,None,ClifSe00,0,0,0
76,Jalen Reeves-Maybin,28,DET,LB,17,0,1,1,100.0,31,0,0.0,0,0.0,1,100.0,31.0,31.0,31.0,31.0,1.8,118.7,0.0,0,0,0.0,31.0,31.0,0,0,PBAP-2,ReevJa00,0,0,0
77,Braden Mann,26,PHI,P,15,0,1,1,100.0,28,0,0.0,0,0.0,1,100.0,28.0,28.0,28.0,28.0,1.9,118.7,0.0,0,0,0.0,28.0,28.0,0,0,None,MannBr01,0,0,0
78,Logan Woodside,28,ATL,QB,1,0,3,4,75.0,27,0,0.0,1,25.0,3,60.0,12.0,6.8,-4.5,9.0,27.0,53.1,4.6,1,7,20.0,4.0,-5.0,0,0,None,WoodLo00,0,0,0
79,Drake London,22,ATL,WR,16,16,1,1,100.0,22,0,0.0,0,0.0,1,100.0,22.0,22.0,22.0,22.0,1.4,118.7,99.9,0,0,0.0,22.0,22.0,0,0,None,LondDr00,0,0,0
80,A.J. McCarron,33,CIN,QB,2,0,4,5,80.0,19,0,0.0,0,0.0,0,0.0,10.0,3.8,3.8,4.8,9.5,82.5,1.7,1,9,16.67,1.67,1.67,0,0,None,McCaA.00,0,0,0
81,Thomas Morstead,37,NYJ,P,17,0,1,1,100.0,18,0,0.0,0,0.0,1,100.0,18.0,18.0,18.0,18.0,1.1,118.7,0.0,0,0,0.0,18.0,18.0,0,0,None,MorsTh00,0,0,0
82,Kenneth Gainwell,24,PHI,RB,16,2,1,1,100.0,17,0,0.0,0,0.0,1,100.0,17.0,17.0,17.0,17.0,1.1,118.7,98.9,0,0,0.0,17.0,17.0,0,0,None,GainKe00,0,0,0
83,Derrick Henry,29,TEN,RB,17,17,2,3,66.7,14,2,66.7,0,0.0,2,66.7,12.0,4.7,18.0,7.0,0.8,116.7,94.6,0,0,0.0,4.67,18.0,0,0,PB,HenrDe00,0,0,0
84,Dontayvion Wicks,22,GNB,WR,15,6,1,1,100.0,14,0,0.0,0,0.0,1,100.0,14.0,14.0,14.0,14.0,0.9,118.7,94.4,0,0,0.0,14.0,14.0,0,0,None,WickDo00,0,0,0
